Level,Tiêu đề test/ Chi tiết test,Đối tượng test,Lưu ý khi ghi testcase,Ví dụ cách viết testcase (Tiếng Việt),,
,,,,Normal/ Abnormal,Test detail,Expect result
,Common,,,,,
-,Cấu trúc URL của các API phải nhất quán.,Tất cả API,"- Thường bên Nhật sẽ quy định URL trong thiết kế hoặc file danh sách API. Nếu ghi trong cả 2 tài liệu và 2 tài liệu không thống nhất nhau thì cần QA hỏi lại ưu tiên làm theo bên nào.
- Trường hợp bên Nhật không ghi URL trong file trên thì QA nhờ bổ sung, hoặc trường hợp không có file trên luôn thì phải QA common và yêu cầu liệt kê hết URL các API, note lại nội dung lên Wiki.
- Trường hợp bên Nhật để tự đặt tên URL thì lead dự án phải tạo tài liệu rule đặt URL lên Wiki kèm danh sách URL đã đặt.
- Trường hợp URL có GET parameter thì đánh dấu parameter bằng dấu hai chấm, ví dụ /:id.
- Không cần phải ghi các query parameter như ?type=.",Bình thường,URL API phải đúng,"〇: GET /order/:id
✖: /order/:id
✖: GET /order/id
✖: GET /order?id="
-,Thực hiện check chứng thực đúng theo như tài liệu thiết kế.,Tất cả API,"- Xét về mặt chứng thực thì có thể chia làm 2 loại API:
+ API có thể call mà không cần chứng thực (không cần gửi API-key hoặc accessToken...)
+ API chỉ có thể call khi có chứng thực (cần gửi API-key hoặc accessToken..., bên Nhật hay gọi tắt là cần login)
- Nên xác nhận với bên Nhật từ đầu là những API nào có thể call mà không cần chứng thực, và API nào phải chứng thực mới call được. Ngoài ra cần xác nhận là chứng thực bằng gì (API-key hay accessToken do API login của hệ thống trả về, hay token nào đó hệ thống khác trả về). Thường spec này sẽ ghi trong file common spec hoặc file danh sách API.",Bất thường,Check chứng thực,"Status: 401 Unauthorized
{
　""errors"": [
　　""認証エラー""
　]
}"
1,"Data có get (search) / insert / update / delete đúng theo quyền hạn (admin, user) hay không nếu có phân quyền. ",API có phân quyền,"- Nếu hệ thống có nhiều phân quyền, nên xác nhận với bên Nhật từ đầu là có danh sách phân quyền API hay không, hay chỉ thêm xử lý phân quyền ở những API có spec phân quyền chi tiết",Bất thường,Check quyền hạn,"Status: 403 Forbidden
{
　""errors"": [
　　""権限がないURLです""
　]
}"
,Check validation,,,,,
1,"Thực hiện check validation (required, max-length, kiểu dữ liệu, khóa ngoại v.v..) đúng theo như tài liệu thiết kế.",Tất cả API,"- API search thường chỉ check required, không check các lỗi validate khác. Tuy nhiên nên có check format date/time/datetime... ở các điều kiện search mà có kiểu dữ liệu này, vì khi nhập sai format thường cho ra kết quả search sai (trong khi lẽ ra phải không ra kết quả search).
- Mỗi lần test, chỉ được test duy nhất 1 hạng mục và duy nhất 1 lỗi.
- Điều kiện test tiên quyết là các hạng mục required phải nhập đúng và các hạng mục optional khác phải để trống để không bị trả thêm lỗi khác ngoài lỗi muốn test.
- Cột giá trị nhập thì ghi giá trị nhập gây ra lỗi (ví dụ bỏ trống, nhập quá 50 ký tự, nhập chữ, nhập giá trị khác 1 or 2...)
- Đối với các thiết kế API không ghi rõ check validate thế nào cần QA lại (cần check những gì, trả lỗi gì), thường thì check theo nguyên tắc sau:
1/ Hạng mục nào có ghi chú ""required"" thì phải check required
2/ Các hạng mục có kiểu dữ liệu như date, datetime, int, decimal... thì phải check format (varchar, char, text không cần)
3/ Các hạng mục varchar, char, decimal có length check theo thiết kế DB. Riêng trường hợp int thì tùy kiểu int gì (bigint, mediumint...) và signed hay unsigned thì length tối đa sẽ khác nhau (chứ không phải spec ghi sao sẽ check theo vậy được).
4/ Các hạng mục có list giá trị thì check giá trị
5/ Các hạng mục là khóa ngoại thì check giá trị",Bất thường,Check required,"Status: 400 Bad Request
{
　""errors"": [
　　""ユーザー名は必須項目です。""
　]
}"
,,,,Bất thường,Check format,"Status: 400 Bad Request
{
　""errors"": [
　　""部署IDは数値で入力してください。""
　]
}"
,,,,Bất thường,Check size,"Status: 400 Bad Request
{
　""errors"": [
　　""メールアドレスは255文字以下で入力してください。（現在{Số ký tự hiện tại}文字）""
　]
}"
,,,,Bất thường,Check giá trị,"Status: 400 Bad Request
{
　""errors"": [
　　""有効な権限を入力してください。""
　]
}"
,Xác nhận reponse trong trường hợp call API thành công/thất bại,,Điều kiện tiên quyết là không xảy ra lỗi validation,,,
1,Status và message tương ứng phải trả về đúng như thiết kế.,Khi call API thất bại,"- Trường hợp call thất bại do lỗi khác lỗi validation (không phải do input), phải ghi rõ điều kiện gây thất bại.
- Trường hợp có nhiều điều kiện OR có thể gây call thất bại, phải tách ra mỗi điều kiện một case.",Bất thường,Response phải đúng,"Status: 400 Bad Request
{
　""errors"": [
　　""原価計上無の受注に対して売上登録は行えません""
　]
}"
1,,Khi call API thành công,"- Case test thành công phải nằm dưới cùng trong testcase, ngay sau khi kết thúc case bất thường.
- Trường hợp call thành công, ghi vào cột điều kiện là không xảy ra lỗi như bên trên nêu.
- Trường hợp call thành công mà trả về nhiều parameters, phải có testcase test từng parameters một (tham khảo case bên dưới).",Bình thường,Response phải đúng,"Status: 200 OK
[
　{ Tham khảo bên dưới }
]
※Chi tiết tham khảo test case bên dưới"
1,Giá trị trả về phải đúng theo DB hoặc điều kiện trả về,Tất cả API,"- Nếu có điều kiện đi kèm để trả ra giá trị tương ứng, phải ghi rõ điều kiện đó (ví dụ nếu có processing ràng buộc thì trả 0).
- Trường hợp giá trị lấy từ DB thì ghi rõ lấy từ bảng nào field nào.",Bình thường,Chi tiết response phải đúng,"〇: section.name
〇: Trả về section.name
✖: Hiển thị section.name"
